# Si5338 Settings Export
# 
# Part: Si5338
# Project File: C:\Users\x395\Desktop\i2c_vhdl_si5338\Trenz_Custom_Config\Si5338-RevB-Project.slabtimeproj
# Export Mode: AllNonSpecialUserRegisters
# Setting Names: Engineering
# Creator: ClockBuilder Pro v4.17 [2025-11-06]
# Created On: 2025-11-16 23:17:23 GMT+01:00
Location,EngineeringName,DecimalValue,HexValue
0x0076[7:6],DRV_STATE2,1,0x1
0x0077[14:0],U3_PHASEOFFSET,0,0x0000
0x0079[13:0],U3_PHASESTEPSIZE,0,0x0000
0x007A[7:6],DRV_STATE3,1,0x1
0x007B[51:0],U0_DENINIT,0,0x0000000000000
0x0082[51:0],U0_DENSTEP,0,0x0000000000000
0x0089[62:0],U0_NUM,0,0x0000000000000000
0x0090[7],ID_EN_CLKOUT0,0,0x0
0x0098[51:0],U1_DENINIT,0,0x0000000000000
0x009F[51:0],U1_DENSTEP,0,0x0000000000000
0x00A6[62:0],U1_NUM,0,0x0000000000000000
0x00AE[51:0],U2_DENINIT,0,0x0000000000000
0x00B5[51:0],U2_DENSTEP,0,0x0000000000000
0x00BC[62:0],U2_NUM,0,0x0000000000000000
0x00C4[51:0],U3_DENINIT,0,0x0000000000000
0x00CB[51:0],U3_DENSTEP,0,0x0000000000000
0x00D2[62:0],U3_NUM,0,0x0000000000000000
0x00E6[0],OEB_0,0,0x0
0x00E6[1],OEB_1,0,0x0
0x00E6[2],OEB_2,0,0x0
0x00E6[3],OEB_3,0,0x0
0x011F[14:0],U0_SSCUPSTEPSIZERES,0,0x0000
0x0121[14:0],U0_SSCUPSTEPSIZEN,1,0x0001
0x0123[11:0],U0_SSCUPSTEPSIZEI,0,0x000
0x0124[15:4],U0_SSCNSTEP,793,0x319
0x0126[14:0],U0_SSCDNSTEPSIZERES,0,0x0000
0x0128[14:0],U0_SSCDNSTEPSIZEN,1,0x0001
0x012A[11:0],U0_SSCDNSTEPSIZEI,0,0x000
0x012F[14:0],U1_SSCUPSTEPSIZERES,0,0x0000
0x0131[14:0],U1_SSCUPSTEPSIZEN,1,0x0001
0x0133[11:0],U1_SSCUPSTEPSIZEI,0,0x000
0x0134[15:4],U1_SSCNSTEP,793,0x319
0x0136[14:0],U1_SSCDNSTEPSIZERES,0,0x0000
0x0138[14:0],U1_SSCDNSTEPSIZEN,1,0x0001
0x013A[11:0],U1_SSCDNSTEPSIZEI,0,0x000
0x013F[14:0],U2_SSCUPSTEPSIZERES,0,0x0000
0x0141[14:0],U2_SSCUPSTEPSIZEN,1,0x0001
0x0143[11:0],U2_SSCUPSTEPSIZEI,0,0x000
0x0144[15:4],U2_SSCNSTEP,793,0x319
0x0146[14:0],U2_SSCDNSTEPSIZERES,0,0x0000
0x0148[14:0],U2_SSCDNSTEPSIZEN,1,0x0001
0x014A[11:0],U2_SSCDNSTEPSIZEI,0,0x000
0x014F[14:0],U3_SSCUPSTEPSIZERES,0,0x0000
0x0151[14:0],U3_SSCUPSTEPSIZEN,0,0x0000
0x0153[11:0],U3_SSCUPSTEPSIZEI,0,0x000
0x0154[15:4],U3_SSCNSTEP,793,0x319
0x0156[14:0],U3_SSCDNSTEPSIZERES,0,0x0000
0x0158[14:0],U3_SSCDNSTEPSIZEN,1,0x0001
0x015A[11:0],U3_SSCDNSTEPSIZEI,0,0x000
